,-E,-nu,-mu_1,-K,-mu_2,-problem,-bc_clamp,-bc_clamp_1_rotate,-bc_clamp_2_rotate,-bc_clamp_3_rotate,-bc_clamp_4_rotate,-bc_clamp_5_rotate,-bc_clamp_6_rotate,Configure,Load,Strain,filename
0,.5,.4,0.5,10,0,FSInitial-MR1,"1,2,3,4,5,6","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","PETSC_ARCH=libceed --download-{hdf5,netcdf,pnetcdf,exodusii,lib,mpich}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[8.963585792095e-05, 0.000358541059542, 0.0008067084881142, 0.00143412628131, 0.002240777829609, 0.003226641774037, 0.004391692003273, 0.005735897650122, 0.007259223087357, 0.008961627922948, 0.01084306699468, 0.01290349036418, 0.01514284331031, 0.01756106632205, 0.02015809509073, 0.02293386050177, 0.02588828862584, 0.02902130070946, 0.03233281316513, 0.03582273756088, 0.03949098060937, 0.04333744415641, 0.04736202516914, 0.05156461572354, 0.05594510299163, 0.06050336922815, 0.06523929175671, 0.07015274295565, 0.07524359024327, 0.08051169606277, 0.08595691786666, 0.0915791081008, 0.0973781141879, 0.1033537785107, 0.1095059383947, 0.1158344260905, 0.1223390687552, 0.1290196884345, 0.1358761020431, 0.1429081213455, 0.1429081213455]",strain_plot/MR/log.txt
1,.5,.4,0.5,10,0,FSInitial-NH1,"1,2,3,4,5,6","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","PETSC_ARCH=libceed --download-{hdf5,netcdf,pnetcdf,exodusii,lib,mpich}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[3.828396436549e-05, 0.0001530158452229, 0.0003438361070859, 0.0006101472524219, 0.0009511166071444, 0.001365680578023, 0.001852550677295, 0.002410221614376, 0.003036981714413, 0.003730925842402, 0.004489970898566, 0.005311873883722, 0.006194251996017, 0.007134605132132, 0.008130339580112, 0.009178792906026, 0.01027725896662, 0.0114230131776, 0.01261333683838, 0.01384554030236, 0.01511698450241, 0.01642510048111, 0.01776740666715, 0.01914152373227, 0.02054518693394, 0.02197625609544, 0.02343272275851, 0.02491271566741, 0.02641450358343, 0.02793649638527, 0.0294772445836, 0.03103543701082, 0.03260989759153, 0.03419958092979, 0.03580356721878, 0.0374210561699, 0.0390513610363, 0.04069390185234, 0.04234819877572, 0.04401386533095, 0.04401386533095]",strain_plot/NH/log.txt
