,-E,-nu,-mu_1,-K,-mu_2,-problem,-bc_clamp,-bc_clamp_1_rotate,-bc_clamp_2_rotate,-bc_clamp_3_rotate,-bc_clamp_4_rotate,-bc_clamp_5_rotate,-bc_clamp_6_rotate,Configure,Load,Strain,filename
0,10,0.3,3.846153846153846,8.333333333333332,0.0,FSInitial-NH1,"1,2,3,4,5,6","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3",PETSC_ARCH=libceed --download-hdf5--download-netcdf--download-pnetcdf--download-lib--download-mpich--download-zlib-with-cmake=1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[0.0007117585495511, 0.002847132989048, 0.006406419727374, 0.01139011289968, 0.01779890454497, 0.02563368484892, 0.03489554244593, 0.045585764773, 0.05770583846592, 0.07125744978682, 0.08624248507005, 0.1026630311717, 0.120521375906, 0.1398200084499, 0.1605616196956, 0.1827491025272, 0.2063855519976, 0.2314742653779, 0.2580187420498, 0.2860226832084, 0.3154899913415, 0.3464247694482, 0.3788313199554, 0.4127141432905, 0.4480779360639, 0.4849275888109, 0.5232681832414, 0.563104988941, 0.604443459463, 0.6472892277468, 0.6916481007965, 0.7375260535455, 0.7849292218302, 0.8338638943916, 0.8843365038179, 0.9363536163334, 0.9899219203381, 1.04504821359, 1.101739388921, 1.160002418366, 1.160002418366]",libCEED/altair_plot/FSInitial-NH1_NH_equiv_test/log.txt
1,10,0.3,3.846153846153846,8.333333333333332,0.0,FSInitial-MR1,"1,2,3,4,5,6","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3","0,0,1,0,.3",PETSC_ARCH=libceed --download-hdf5--download-netcdf--download-pnetcdf--download-lib--download-mpich--download-zlib-with-cmake=1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[0.0003558943638452, 0.001423807773429, 0.003204430105017, 0.005698907562162, 0.008908837299838, 0.01283625991715, 0.01748364983748, 0.02285390360025, 0.02895032609378, 0.03577661476383, 0.04333684183761, 0.051635434608, 0.0606771538278, 0.07046707026831, 0.08101053950164, 0.09231317497036, 0.1043808194126, 0.1172195147153, 0.1308354702715, 0.1452350299224, 0.160424637569, 0.1764108015388, 0.1932000578013, 0.2107989321242, 0.2292139012683, 0.2484513533206, 0.2685175472673, 0.2894185719116, 0.3111603042428, 0.3337483673632, 0.3571880880844, 0.3814844543025, 0.4066420722637, 0.4326651238344, 0.4595573238863, 0.4873218779119, 0.5159614399818, 0.5454780711577, 0.5758731984723, 0.6071475745879, 0.6071475745879]",libCEED/altair_plot/FSInitial-MR1_NH_equiv_test/log.txt
